section	module_or_level	item_or_grade	software_or_package	version	analysis_stratum	parameter_or_required_evidence	reference_or_supporting_evidence	testing_universe	number_of_tests	correction_method	significance_threshold	fdr_threshold	interpretation_boundary	notes
Software and reference resources	PLINK / LD proxy	Not applicable	PLINK/PLINK2	PLINK v1.90b/v2.00-compatible LD and clumping workflow	Not applicable	1000 Genomes EUR; r2 proxy and clumping; large locus split p1=5e-8, p2=1e-4, r2=0.1, kb=1000	1000 Genomes Project Phase 3 European reference panel	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GRCh37/hg19-compatible for locus/proxy analyses	Version family reported for reproducibility; LD panel and clumping parameters are provided in Methods and this table.
Software and reference resources	LCV	Not applicable	LCV R implementation	Git commit 39950a8b9c67d812a5f7ec8a1df6951942cb258e	Not applicable	RunLCV on signed summary statistics; ancestry-matched LD scores; MHC excluded; 20-100 block jackknife blocks according to merged SNP count	O'Connor and Price LCV implementation; European LD-score reference	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	GCP is secondary directional evidence and is not a direct causal-effect estimate	All 31 final disease pairs completed successfully.
Software and reference resources	Bidirectional MR	Not applicable	Custom R workflow; MRPRESSO; PLINK	R 4.5.3; data.table 1.17.8; MRPRESSO 1.0; PLINK v1.9.0-b.8	Not applicable	P <= 5e-8; F statistic >= 10; European LD clumping r2 < 0.001 within 10 Mb; palindromic variants removed; >=4 harmonized instruments	IVW primary estimate; MR-Egger, weighted median and MR-PRESSO sensitivity estimates; MR-PRESSO 2,000 simulations, seed 1	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Exploratory secondary directionality only; heterogeneous source-GWAS effect scales prevent cross-direction effect-size ranking	58 of 62 directions were estimable; four were instrument-limited.
Software and reference resources	Approved drug-target annotation	Not applicable	DGIdb GraphQL API	Public DGIdb GraphQL API queried 5 June 2026	Not applicable	Gene-A or Gene-B prioritized genes queried for drug-gene interactions; display restricted to records with DGIdb approved=True	DGIdb approval flag and drug-gene interaction records	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Exploratory target annotation only; not evidence of efficacy, safety or a nasal-disease indication	127 unique approved-drug annotations after deduplication.
Multiple-testing correction	LDSC	Not applicable	Not applicable	Not applicable	disease-pair genetic correlation	Not applicable	Not applicable	all tested LDSC disease pairs	129	Benjamini-Hochberg FDR	module P retained; BH q < 0.05 for screened evidence	0.05	Not applicable	ldsc_qc rg_rows=129; bh05_rows=23
Multiple-testing correction	LAVA	Not applicable	Not applicable	Not applicable	pair-by-local-region	Not applicable	Not applicable	local genetic-correlation rows in the LAVA audit/reporting universe; formal downstream interpretation restricted to retained nasal anchors	final LAVA reporting rows=3987; adjusted significant rows=318; formal downstream retained-pair rows=1483 with 228 significant regions	adjusted LAVA output P value; final p_adj behaves as FDR-style adjusted local-rg evidence rather than a simple 0.05/N Bonferroni cutoff	p_adj <= 0.05 in LAVA output	0.05	Not applicable	Initial nasal4 screen included 4 nasal anchors x 57 comparator traits. Formal downstream analyses retained allergic rhinitis and nasal polyps; chronic sinusitis and chronic rhinitis were retained only for audit/low-power transparency.
Multiple-testing correction	MTAG	Not applicable	Not applicable	Not applicable	pair-level cross-trait meta-analysis summary	Not applicable	Not applicable	not used as final significance testing module; generated cross-trait summary statistics	31	not applicable for final grading	MTAG SNP P used downstream; not standalone grade	not applicable	Not applicable	MTAG provides cross-trait Z/P input for locus/gene analyses.
Multiple-testing correction	PLACO	Not applicable	Not applicable	Not applicable	pair-variant	Not applicable	Not applicable	variants tested within each disease-pair PLACO analysis	pair-specific; total after QC across rows=35982539	genome-wide P threshold and BH-FDR within pair-level variant set	P < 5e-8	0.05 for pair-level variant summary	Not applicable	Do not interpret total summed variants as one pooled FDR denominator.
Multiple-testing correction	CPASSOC	Not applicable	Not applicable	Not applicable	pair-variant	Not applicable	Not applicable	variants tested within each disease-pair CPASSOC analysis	pair-specific; total after QC across rows=35982539	genome-wide P threshold and BH-FDR within pair-level variant set	P < 5e-8	0.05 for pair-level variant summary	Not applicable	Do not interpret total summed variants as one pooled FDR denominator.
Multiple-testing correction	coloc ABF	Not applicable	Not applicable	Not applicable	pair-locus	Not applicable	Not applicable	candidate loci carried into ABF colocalization	9832	posterior-probability rule, not P-value FDR	positive when PP.H4 >= 0.80 and PP.H4 > PP.H3	not applicable	Not applicable	PP.H4 >= 0.50 was an entry threshold for SuSiE-coloc, not the coloc-positive definition.
Multiple-testing correction	SuSiE-coloc	Not applicable	Not applicable	Not applicable	pair-locus credible set	Not applicable	Not applicable	pair-locus records with coloc ABF PP.H4 >= 0.50; one large parent locus was replaced by ten subloci	276 initial records; 285 final analyses	posterior/credible-set rule, not P-value FDR	positive when at least one shared signal had PP.H4 >= 0.80 and PP.H4 > PP.H3	not applicable	Not applicable	76 positive loci; skipped/failed states retained as diagnostics.
Multiple-testing correction	MAGMA	Not applicable	Not applicable	Not applicable	pair-gene or locus-restricted pair-gene	Not applicable	Not applicable	tested genes within relevant gene-testing universe; final score uses A/B-locus restricted universe	pair-specific; broad MAGMA total tested rows=548019; final candidate pair-gene records=566; candidate unique genes=205	Bonferroni	0.05 / N_tested_genes within stratum	not used for final score_final; MAGMA FDR positive used as sensitivity enrichment	Not applicable	Main final score uses MAGMA Bonferroni positive genes.
Multiple-testing correction	FUSION TWAS	Not applicable	Not applicable	Not applicable	pair-by-tissue candidate-gene	Not applicable	Not applicable	MAGMA Bonferroni-positive candidate genes tested within each pair x GTEx tissue	pair x tissue specific; raw jobs completed 2573/2573; candidate pair-gene records=566	Benjamini-Hochberg FDR within pair x tissue	TWAS-supported if any tissue FDR <= 0.05	0.05	Not applicable	main_pair_gene_records=336; main_unique_genes=123; Gene-A=130; Gene-B=206
Multiple-testing correction	Pathway ORA	Not applicable	Not applicable	Not applicable	global/domain x pathway database	Not applicable	Not applicable	terms tested within each database and analysis stratum	database- and stratum-specific	Benjamini-Hochberg FDR separately for GO BP, KEGG and Reactome	FDR < 0.05	0.05	Not applicable	Foreground/background use unique gene symbols; no pair-gene duplicate counting.
Multiple-testing correction	LCV	Not applicable	Not applicable	Not applicable	31 final disease pairs	Not applicable	Not applicable	one GCP test per final disease pair	31	Bonferroni used for strict summary	nominal P < 0.05; strict P < 0.05/31	Not applicable	Secondary directional evidence only	Nominal and Bonferroni results are distinguished.
Multiple-testing correction	Bidirectional MR	Not applicable	Not applicable	Not applicable	62 prespecified exposure-outcome directions	Not applicable	Not applicable	two directions for each of 31 final disease pairs	62	Bonferroni used for strict IVW summary	nominal P < 0.05; strict IVW P < 0.05/62	Not applicable	Sensitivity flags and instrument eligibility must accompany P values	MR-Egger intercept, Cochran heterogeneity and MR-PRESSO global tests are reported as sensitivity diagnostics.
Evidence definitions	SNP	SNP-A	Not applicable	Not applicable	Not applicable	Concordant genome-wide shared-association evidence from PLACO and CPASSOC for the same variant, or for high-LD proxy variants within the same disease pair and chromosome according to the final SNP grading table.	MTAG support, LAVA regional support, cross-trait recurrence, and LD-proxy concordance strengthen traceability but do not replace the required PLACO/CPASSOC concordance.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Highest SNP-level shared-association stratum; indicates robust cross-method association evidence, not identification of the causal variant.	Not allowed for upgrade: Post hoc functional annotation, pathway enrichment, tissue or cell enrichment, drug-target annotation, LCV, or Mendelian randomization.; Per-variant operational fields, LD-proxy links and source-method flags are provided in the final SNP grading table.
Evidence definitions	SNP	SNP-B	Not applicable	Not applicable	Not applicable	High-confidence SNP-level shared-association evidence that does not satisfy SNP-A, including genome-wide evidence in one of PLACO/CPASSOC with FDR-level support in the other, or dual FDR-level PLACO/CPASSOC support accompanied by MTAG or LAVA evidence.	LD-proxy support, MTAG cross-trait association, LAVA local-rg evidence, and recurrence across related partner traits.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Prioritized SNP-level shared-association stratum below SNP-A; suitable for locus construction but not sufficient by itself for causal interpretation.	Not allowed for upgrade: Functional annotation, enrichment, drug-target annotation, LCV, or Mendelian randomization without qualifying SNP-level evidence.; Per-variant operational fields and source-method flags are provided in the final SNP grading table.
Evidence definitions	SNP	SNP-C	Not applicable	Not applicable	Not applicable	SNP-level signal observed in upstream shared-association analyses but lacking the concordance, LD-proxy structure, or multi-method support required for SNP-A or SNP-B.	Module-specific nominal association, exploratory FDR-level evidence, or regional support retained for traceability.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Traceable candidate SNP evidence; not treated as a primary shared-association signal.	Not allowed for upgrade: Downstream annotation or enrichment results in the absence of qualifying SNP-level evidence.; Recorded to preserve the audit trail from upstream SNP-level analyses to locus construction.
Evidence definitions	SNP	SNP-D	Not applicable	Not applicable	Not applicable	Background, unresolved, non-concordant, or insufficient SNP-level evidence after applying the shared-association grading rules.	No supporting evidence sufficient for prioritization.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Audit-only SNP stratum; not interpreted as prioritized genetic evidence.	Not allowed for upgrade: Any downstream functional, enrichment, drug-target, LCV, or Mendelian-randomization evidence.; Retained only to document filtering and non-upgrade decisions.
Evidence definitions	locus	Locus-A	Not applicable	Not applicable	Not applicable	Candidate locus with positive coloc ABF evidence and positive SuSiE-coloc evidence for the corresponding disease pair.	SNP-A evidence, LD concordance between PLACO and CPASSOC, MTAG support, and LAVA regional evidence.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Highest locus-level shared-signal stratum; supports a shared association signal within the locus, not assignment of a causal gene.	Not allowed for upgrade: pathway enrichment, tissue or cell enrichment, drug-target annotation, LCV, or Mendelian randomization.; Used as the locus component for Gene-A when paired with MAGMA Bonferroni significance and TWAS support.
Evidence definitions	locus	Locus-B	Not applicable	Not applicable	Not applicable	Candidate locus with strong SNP-level evidence and partial colocalization support, including SNP-A with either coloc ABF or SuSiE-coloc evidence, or SNP-B with either coloc ABF or SuSiE-coloc evidence.	LD concordance, MTAG support, LAVA regional evidence, and recurrence across related partner traits.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Prioritized locus-level stratum with partial colocalization support; less stringent than Locus-A and not by itself causal.	Not allowed for upgrade: Downstream functional annotation, enrichment, drug-target annotation, LCV, or Mendelian randomization.; Used as the locus component for Gene-B when paired with MAGMA Bonferroni significance and TWAS support.
Evidence definitions	locus	Locus-C	Not applicable	Not applicable	Not applicable	Candidate locus with upstream SNP-level or regional evidence but unavailable, negative, discordant, or insufficient colocalization evidence for Locus-A or Locus-B.	PLACO, CPASSOC, MTAG, or LAVA evidence retained for traceability.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Candidate locus with incomplete shared-signal support; not used as a primary shared-locus finding.	Not allowed for upgrade: enrichment, tissue/cell annotation, drug-target annotation, LCV, or Mendelian randomization.; Retained to distinguish unresolved loci from negative/background loci.
Evidence definitions	locus	Locus-D	Not applicable	Not applicable	Not applicable	Background, unresolved, non-concordant, or insufficient locus-level evidence after applying SNP and colocalization grading rules.	No supporting evidence sufficient for locus prioritization.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Audit-only locus stratum; not interpreted as prioritized locus evidence.	Not allowed for upgrade: Any downstream annotation or directional analysis.; Retained only to document non-upgrade decisions.
Evidence definitions	gene	Gene-A	Not applicable	Not applicable	Not applicable	Gene located in a Locus-A region for the disease pair, significant in the locus-restricted MAGMA analysis after Bonferroni correction, and TWAS-supported in at least one GTEx v8 tissue at pair-by-tissue BH-FDR <= 0.05.	Best-supported FUSION tissue, number of significant tissues, post hoc functional annotation.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Highest gene-prioritization stratum; indicates convergence of Locus-A, MAGMA and TWAS evidence, not proof of the causal gene or therapeutic target.	Not allowed for upgrade: pathway enrichment, tissue enrichment, cell enrichment, drug-target annotation, LCV, or Mendelian randomization without the required locus, MAGMA and TWAS evidence.; Final prioritized set contains 130 Gene-A pair-gene records.
Evidence definitions	gene	Gene-B	Not applicable	Not applicable	Not applicable	Gene located in a Locus-B region for the disease pair, significant in the locus-restricted MAGMA analysis after Bonferroni correction, and TWAS-supported in at least one GTEx v8 tissue at pair-by-tissue BH-FDR <= 0.05.	Best-supported FUSION tissue, number of significant tissues, post hoc functional annotation.	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Secondary prioritized gene stratum; indicates convergence of Locus-B, MAGMA and TWAS evidence with lower locus-level stringency than Gene-A.	Not allowed for upgrade: enrichment, drug-target annotation, LCV, or Mendelian randomization without the required locus, MAGMA and TWAS evidence.; Final prioritized set contains 206 Gene-B pair-gene records.
